Foto;Quelldatei;Aufnahmezeit;Beschnitten;Pruefsumme
F-259;IMG_2290.HEIC;2026:09:22 10:05:44;;6195bfecc3860cd52f8d7b53010631d1
F-260;IMG_2292.HEIC;2026:09:22 10:06:28;;e9f7ee061916b72332630026a002154c
F-261;IMG_2293.HEIC;2026:09:22 10:07:01;;4304cd8b45a14183bb859de938a7e8c1
F-262;BA01-03.jpg;;;33cfe55fd10afcfc325c104bc8bc2504
F-263;IMG_2296.HEIC;2026:09:22 10:09:50;;929e8a57edc288a6dc2071f5da57b07d
F-264;IMG_2297.HEIC;2026:09:22 10:10:13;;59f663122ab6e9cecb243956e1a5f7ea
F-265;IMG_2298.HEIC;2026:09:22 10:11:51;;e5386be70f955cfb3f8d846bc343abd1
F-266;IMG_2299.HEIC;2026:09:22 10:14:05;;969dc3cf784f73022dd9f13768af39bc
F-267;IMG_2300.HEIC;2026:09:22 10:14:49;;fa4be66515d6cde77874af655953b7a5
F-268;IMG_2302.HEIC;2026:09:22 10:15:45;;e7f99bafef25a4e202470ce8852a79b0
F-269;IMG_2303.HEIC;2026:09:22 10:16:12;;574fa5808c47d96545f2cb4e4c846342
F-270;IMG_2304.HEIC;2026:09:22 10:16:41;;edbc847d32ee5b98703a6f735136b3ef
F-271;IMG_2305.HEIC;2026:09:22 10:17:20;;0f2b3b6148aa11b5dbf0ebc96f8e4316
F-272;BA02-01.jpg;;;0ae53ab9dc56632b186eae138a2fe153
F-273;IMG_2391.HEIC;2026:09:22 12:05:44;;287589837e81c7446e885be304768aab
F-274;IMG_2392.HEIC;2026:09:22 12:08:27;;c0418deee171e9029938d070c5377192
F-275;IMG_2393.HEIC;2026:09:22 12:08:36;;4db285c8e744781708b3cf7fe1e9e6c0
F-276;IMG_2119.HEIC;2026:09:21 10:45:05;;1201f62014b45033e1fe886deb437ed9
F-277;IMG_2120.HEIC;2026:09:21 10:45:53;;6f9042e27589ed5d66fcbb3c0e3a0410
F-278;IMG_2121.HEIC;2026:09:21 10:46:37;;662e38edfd0e567a98785b844a4d880d
F-279;IMG_2122.HEIC;2026:09:21 10:47:11;;9d3d0c32eb6402d3322e4e407c2d8ce1
F-280;IMG_2123.HEIC;2026:09:21 10:48:21;;01ae4d4bec8b2861b3c9b991550c196c
F-281;IMG_2125.HEIC;2026:09:21 10:50:45;;5e2629ee6a70313a74651fb061a60590
F-282;IMG_2127.HEIC;2026:09:21 10:53:15;;f6f5f9548a1b8f41ba19d411722dbc18
F-283;IMG_2128.HEIC;2026:09:21 11:00:13;;d83a62606eac72011ae5cd56b5f318ed
F-284;IMG_2130.HEIC;2026:09:21 11:01:35;;986f14bf8f6f15e2afe58fde8cf70389
F-285;IMG_2199.HEIC;2026:09:21 15:40:13;;c3417ff4a96299afed097a5ea12726e2
F-286;IMG_2385.HEIC;2026:09:22 11:52:42;;d825924a9e6483cbe9096bf29e4d2dd5
F-287;IMG_2386.HEIC;2026:09:22 11:53:00;;93a66b3b234fe054e1ea66948e41c319
F-288;IMG_2388.HEIC;2026:09:22 11:53:51;;2cfe7dc416821730fa68db06d740f7b0
F-289;IMG_2389.HEIC;2026:09:22 11:54:30;;9bc938cd80dd20cf80ec880823d2146c
F-290;IMG_2390.HEIC;2026:09:22 11:55:57;;4a7f0bdc4e7b8206e5f28e64aab1d05d
F-291;IMG_2364.HEIC;2026:09:22 11:22:35;;25dc480ded93ca6ba91cf34ee9143665
F-292;IMG_2365.HEIC;2026:09:22 11:22:44;;f425c29cfe511745735aa621a274aa25
F-293;IMG_2366.HEIC;2026:09:22 11:23:48;;40a9d94612131f57e94fca356a208ba0
F-294;IMG_2367.HEIC;2026:09:22 11:24:12;;63dc0795893c5a68a344336539d35c18
F-295;IMG_2368.HEIC;2026:09:22 11:24:41;;eb91a9fa1c5800fd349da8f1f2394c19
F-296;IMG_2369.HEIC;2026:09:22 11:25:14;;c75edc2d478a341dd3ed2db5d416052c
F-297;IMG_2370.HEIC;2026:09:22 11:25:19;;487b27f9c133d7c033ffa6f045045a71
F-298;IMG_2371.HEIC;2026:09:22 11:25:52;;3b3f63a840d81c5dfb7358cc401557d9
F-299;IMG_2372.HEIC;2026:09:22 11:26:52;;bc2ad24263ac0b2d61e1fd37b1bf3d9d
F-300;IMG_2373.HEIC;2026:09:22 11:27:17;;57a1981a3bea842e880971087386e630
F-301;IMG_2374.HEIC;2026:09:22 11:28:13;;ae51c19303c1fef182adf175d5972b40
F-302;IMG_2375.HEIC;2026:09:22 11:32:25;;89de8d30d0e3bcdedbffa2e4b30e2eb8
F-303;IMG_2377.HEIC;2026:09:22 11:32:44;;f80b63f6910d589e668d6c5f89f85ea5
F-304;IMG_2378.HEIC;2026:09:22 11:33:44;;9e999d30c473fb15f303e0951e6af88e
F-305;IMG_2379.HEIC;2026:09:22 11:34:47;;cc10f14c988cf490f2f218739e1bcd24
F-306;IMG_2380.HEIC;2026:09:22 11:35:44;;356f2cba1a8a22a217e5e08c31e0be2c
F-307;IMG_2381.HEIC;2026:09:22 11:41:40;;4538354402f991f0a88f2e47fce775fd
F-308;IMG_2382.HEIC;2026:09:22 11:42:22;;79b1a881da953c35b3a2cbda70b1e9a7
F-309;IMG_2383.HEIC;2026:09:22 11:45:09;;bd622401fdd59dbab069dcc5418491f0
F-310;IMG_2308.HEIC;2026:09:22 10:24:02;;95df26b3b2e4fcad8f785b7c1a4846fc
F-311;IMG_2310.HEIC;2026:09:22 10:24:11;;4ff7f9526471292e8dd2cdd8c0925a15
F-312;IMG_2313.HEIC;2026:09:22 10:24:59;;cafec81d3f816bb36f161ed49132cbb2
F-313;IMG_2314.HEIC;2026:09:22 10:25:38;;978a2f7c5ba4e6b9c576c0b10d40ba30
F-314;IMG_2315.HEIC;2026:09:22 10:26:11;;eb2e959709613dbd91e0b8cd801b0f74
F-315;IMG_2316.HEIC;2026:09:22 10:26:17;;0e4da65f4b5e38d83b9467475c054afe
F-316;IMG_2319.HEIC;2026:09:22 10:28:04;;7ead2ed76d7f5305f064233afb6e4c97
F-317;IMG_2320.HEIC;2026:09:22 10:29:01;;23c60b9f27887a7bb3ab900686fd4238
F-318;IMG_2321.HEIC;2026:09:22 10:29:30;;5ed34fe6a4a6b2f4aefa591f30d81465
F-319;IMG_2322.HEIC;2026:09:22 10:31:46;;a1a0b832f966d4be56dad524e2e02ef6
F-320;IMG_2324.HEIC;2026:09:22 10:34:18;;fc6034c8d51b4aa4bbad12f040a1142a
F-321;BA05-05.jpg;;;60563f0a4d46b6bb09979a9a4f1047a4
F-322;BA05-10.jpg;;;c8e65093d4693bc41a2b59ab412d4e76
F-323;BA06-01.jpg;;;cfa0c72c9cd25d2d79bec56d115eceaa
F-324;BA06-04.jpg;;;6854b464e63d1e817f84c4af7f3e0ae0
F-325;IMG_2328.HEIC;2026:09:22 10:39:52;;843c35c60f697eeca50188be5907a695
F-326;IMG_2330.HEIC;2026:09:22 10:40:36;;f37d33ec5e438388d5815569c55b5925
F-327;IMG_2332.HEIC;2026:09:22 10:42:05;;f9c0eab59189135bff21d724d50b1dbd
